-15.2280655281841,-15.2276877843574,-15.2053000162193,-15.2287084562851,-15.2172791039062,-15.200819881294,-15.1934707505664,-15.2285657652527,-15.1639460612964,-15.1516754294066,-15.1282635297932,-15.099868982281,-15.1319782002078,-15.0590730058043,-15.023262983146,-15.2069990150958,-15.1246136926594,-15.1288255087327,-14.9319829800015,-14.9161640535553,-15.1397425397837,-14.8184756254896,-14.8386499009516,-15.2004379026366,-15.0291726169814,-14.7583643595408,-14.9173307834064,-15.0332546769086,-15.1212702871065,-15.154439069365,-14.643602343202,-14.5330514400375,-14.957682297426,-14.3685840261298,-14.4860878145316,-14.5094151376044,-14.3197380794699,-14.1365206575019,-14.9861107349556,-14.5035386931357,-13.9358689431683,-14.6631439245352,-13.9505643836103,-14.6211465401346,-15.297654467203,-14.0080695249483,-14.611687902512,-13.5808196415962,-14.1291152871534,-14.6823655439798,-15.2406378745562,-12.9982153382481,-13.4658054748763,-13.9376987054558,-14.4139547047255,-12.3839568854465,-12.7873412584849,-13.1945074649851,-13.6055089389348,-14.0204001257192
-15.2564018384104,-15.257040473142,-15.2250688525782,-15.2543230199442,-15.238478048407,-15.2265719939915,-15.2156239294867,-15.2523997235664,-15.1967352660953,-15.1866847162393,-15.1591395801392,-15.138825709334,-15.15724323586,-15.0874235899207,-15.0577857599687,-15.2292442869633,-15.1700077006225,-15.1685908057865,-14.965198700222,-14.918560209364,-15.1479062165623,-14.880764997148,-14.8518396510714,-15.1974390894542,-15.05174228847,-14.7859575004652,-14.9655170961036,-15.0647018584445,-15.1433629437218,-15.1659261011589,-14.6614021975448,-14.5366372230739,-14.9476853270614,-14.3710367856475,-14.4991684048885,-14.5605480383398,-14.3715932452681,-14.1438072825864,-14.9938352785718,-14.5685716965644,-13.9888646808885,-14.7189053652281,-13.9714512948449,-14.6430374530421,-15.3205582539006,-14.0138798418054,-14.6177485903447,-13.6221232855318,-14.1720864746329,-14.7270193435709,-15.2869895600018,-13.0021790452091,-13.4699117698951,-13.9419489007281,-14.4183501306445,-12.4274733323281,-12.8322751727242,-13.2408721357071,-13.6533178430287,-14.0696669313917
-15.2995275776526,-15.3037116538638,-15.2802772097714,-15.3025677178748,-15.266499473946,-15.2848424970692,-15.2669100319124,-15.3191103147752,-15.2468633058757,-15.2166916904248,-15.2036364161399,-15.1674469789115,-15.2084153783322,-15.129560462458,-15.1151393869617,-15.2781865963232,-15.2022894310533,-15.1861162505537,-15.0093204225073,-14.9807578593903,-15.2333368859194,-14.8620426464771,-14.8904594265268,-15.2776710238558,-15.0646690224542,-14.8149117454448,-14.9626119732665,-15.1174014133513,-15.1758483146849,-15.226749980932,-14.6513470224745,-14.6254113232011,-14.9750222530705,-14.4541355957168,-14.49263885823,-14.5645514433457,-14.3823939027867,-14.1917564672606,-15.0446661589976,-14.5570673640232,-13.9787167093258,-14.7082277987144,-13.9402872665281,-14.6103754178533,-15.2863849743194,-14.0737444553683,-14.6801928156699,-13.600940143206,-14.1500481096473,-14.7041180278032,-15.2632174601027,-12.9920138599496,-13.459380908253,-13.9310489974917,-14.4070777739337,-12.4207644371065,-12.8253477477129,-13.2337241321326,-13.6459471831699,-14.0620715080323
-15.3162802761168,-15.3162933668522,-15.2907587064547,-15.310658900864,-15.3001522418836,-15.2887485952575,-15.2799274885555,-15.3209535049768,-15.2542583950709,-15.2546787026227,-15.2460318209964,-15.1764768140885,-15.2191309983682,-15.1498636627946,-15.1327822943291,-15.3032555846838,-15.2413848354128,-15.2444509211849,-15.0667268960903,-14.9720528368339,-15.2660799797438,-14.9189543026251,-14.889646346445,-15.2380978540322,-15.1833045490399,-14.8688618482511,-15.0528648576412,-15.1742690660012,-15.2377586532534,-15.2389988046931,-14.7165676551266,-14.6654746200584,-15.0321563891785,-14.3742291801372,-14.6696915609332,-14.5956036658153,-14.4762009183282,-14.1867477698251,-15.039356444095,-14.520353403413,-14.0377997467101,-14.770394218634,-14.0451986396407,-14.7203297191867,-15.4014267669972,-14.079405573455,-14.6860978756437,-13.6682961641591,-14.2201234814176,-14.7769373234952,-15.3388055874107,-13.0740439137555,-13.544361862861,-14.0190080091704,-14.4980423755514,-12.5587989429099,-12.9678784709285,-13.3807932259687,-13.7975973964225,-14.2183461963586
-15.3342493929079,-15.3398756647706,-15.3125622154329,-15.3427442729208,-15.3230354981524,-15.3127010532075,-15.3004098498845,-15.3211703512299,-15.2574934178944,-15.2812257266427,-15.2178674075174,-15.212577912867,-15.267037255999,-15.1673518397698,-15.1840323596775,-15.3259123365011,-15.2840961835775,-15.2574474197946,-14.9911159177889,-15.0786712370832,-15.2208538434397,-14.9103970787942,-14.9823776842394,-15.3159014268203,-15.2015903877844,-14.8592481556992,-15.0132578961327,-15.1642197610297,-15.2183010593232,-15.284220653812,-14.8033667403304,-14.5678562029907,-15.0528829701102,-14.4954685126831,-14.6809174972644,-14.6223955153643,-14.5153878240662,-14.2794805084336,-15.1376623231165,-14.7130410172077,-14.1747145033134,-14.914454182864,-14.0875226341535,-14.7646881629685,-15.4478376379788,-14.0955418400006,-14.7029294661963,-13.7135236315261,-14.2671769080471,-14.8258332094605,-15.3895606574517,-13.1828539590302,-13.6570861765651,-14.1356826131604,-14.61870379123,-12.6463885428382,-13.0583211392403,-13.4741157109225,-13.8938268242061,-14.3175100782427
-15.3520965404066,-15.3505916770596,-15.3248947167635,-15.3506432064321,-15.3381213024465,-15.33269983071,-15.3165287307208,-15.3401084209531,-15.2922136528134,-15.2984386598535,-15.251459619496,-15.2431405927671,-15.2258939040633,-15.1941204940146,-15.1298771794354,-15.3550781436881,-15.2897860559421,-15.2021736247084,-15.0264316363488,-15.0516505105534,-15.2440411854438,-14.9521015768402,-14.9237369960886,-15.3500807083435,-15.1141946040917,-14.9297296351168,-15.0552658817552,-15.09054179163,-15.2856293710388,-15.3005095519353,-14.8275836302409,-14.5626105722957,-15.1870838005959,-14.4820059964037,-14.6215304698894,-14.6584371105058,-14.3689183324701,-14.2736696242113,-15.1315022108419,-14.5388060493898,-14.0242176830045,-14.7561033440772,-14.1284363406523,-14.8075685283624,-15.4927020411514,-14.0920852009723,-14.6993238779614,-13.7501763332722,-14.3053093818022,-14.8654588270162,-15.4306929726712,-13.1770069947818,-13.6510288770713,-14.1294130427681,-14.6122199874428,-12.4581660919008,-12.8639676918802,-13.2735737874529,-13.6870381328027,-14.1044154995715
-15.3576549353126,-15.3599216234686,-15.3358960059835,-15.3568083977827,-15.3372420408991,-15.3222726353239,-15.3079961331196,-15.3496673166958,-15.2901161495153,-15.2847891545502,-15.2486536660639,-15.240173932791,-15.250781848707,-15.1496551597786,-15.223280291697,-15.3159487702105,-15.2557325667628,-15.1790150645558,-15.0506327353741,-15.0783160396298,-15.2949350348973,-15.0161594565323,-14.8751002582218,-15.2733443837118,-15.1269053353066,-14.8136597792306,-15.0292966091719,-15.0852635851092,-15.196256359706,-15.2490161312644,-14.7366896732004,-14.7236827906779,-14.9459324664512,-14.5142602556596,-14.6183539145227,-14.4037203108308,-14.4380564025506,-14.1575967210277,-15.008453447813,-14.5365763912007,-13.9212279905532,-14.6477389005454,-13.9961226257225,-14.6688946968196,-15.3476118902005,-14.0932543435148,-14.7005433997458,-13.5336365163736,-14.0800272472948,-14.6313553759407,-15.1876881304107,-12.9522935216539,-13.4182316939211,-13.8884577575994,-14.3630311766008,-12.496835723192,-12.9038969145217,-13.3147744104412,-13.7295221319853,-14.1481950208048
-15.3543248985796,-15.3525515485867,-15.3243668166527,-15.3511967426016,-15.358109647822,-15.3404351511735,-15.3203004612309,-15.3545150072021,-15.2571664695945,-15.2633057608155,-15.2645557672655,-15.2691312030988,-15.2334008505931,-15.1452720862425,-15.1792819539662,-15.3980526765,-15.2329691533807,-15.1834225039402,-15.0616773986478,-15.1156443472382,-15.2258807478392,-14.9713128720305,-15.0160121380161,-15.3806773480548,-15.1675850835301,-14.9261956106761,-14.9231640585762,-15.1258861113066,-15.202129973664,-15.3646219505604,-14.7252654777386,-14.6537859330418,-15.2420108205766,-14.6697539194655,-14.6506495962973,-14.7611697656534,-14.2787724852543,-14.5195821658873,-15.3921938385739,-14.7387004930355,-14.0528625271991,-14.7862430845436,-14.1992704507723,-14.8818075251245,-15.5703760127063,-14.4370705274771,-15.0591748847583,-13.7072348842135,-14.2606342664293,-14.8190343792504,-15.3825033131232,-13.2909223984165,-13.7690422062877,-14.2515620095651,-14.7385428268045,-12.4741652349047,-12.8804879772241,-13.2906201009818,-13.7046154293945,-14.1225288044432
-15.512225600393,-15.5085905449555,-15.4943439452645,-15.5186024465779,-15.4936744112723,-15.475596809785,-15.4707896857619,-15.5154201650802,-15.4409276009241,-15.4283985251844,-15.4123629851203,-15.3539707613996,-15.4600380933089,-15.3102200693819,-15.324357961363,-15.4205667232676,-15.3711916496825,-15.4404034678103,-15.1032385603949,-15.1464178386454,-15.4188293685177,-15.2585718369267,-15.1783888519096,-15.4497965283023,-15.4193232844947,-14.9242622003473,-15.262741697213,-15.2810425469047,-15.5016434656896,-15.3611775245718,-14.8489180165906,-14.8973817707868,-15.1490330042598,-14.5414780407051,-14.7770421295696,-14.712926382192,-14.6949901249229,-14.3249966069984,-15.1859138915075,-14.9816241837946,-14.1644480456831,-14.9036519468181,-14.1061840204541,-14.7842465733841,-15.4683009992921,-14.0512981942554,-14.6567793280815,-13.910355819521,-14.4719557615917,-15.0386305376947,-15.6104492472758,-13.11471849449,-13.5864996469867,-14.0626224621162,-14.5431471494826,-12.6305537654588,-13.0419705734255,-13.4572445210215,-13.8764301062447,-14.2995828586299
-15.5312337782249,-15.5290194423505,-15.5039931038745,-15.5288911217283,-15.5157100462269,-15.5053896896338,-15.5009001605156,-15.5645439922798,-15.4542036782773,-15.4360495878078,-15.4291127076265,-15.3779678605154,-15.4000838549211,-15.3836046182172,-15.3355088492018,-15.4757715666687,-15.5108160293091,-15.3864683320175,-15.2849097508191,-15.0936875959829,-15.4228986992345,-15.0658307402107,-15.1567093483225,-15.5714475619602,-15.3768010524188,-15.0162547028892,-15.2651160191964,-15.3618381410944,-15.3787954735318,-15.3290253239068,-14.9887306108785,-14.8387606799001,-15.415530684973,-14.6896857080212,-14.9617388202992,-14.6725361104989,-14.653159519927,-14.4868233223595,-15.357466222879,-14.6562716158709,-14.2915729814752,-15.0374111861967,-14.2427836500187,-14.927412336881,-15.6180909200412,-14.1296943714767,-14.7385536562477,-13.8829607881308,-14.4434547162187,-15.0090134839693,-15.579706054744,-13.2901876999585,-13.7682810782204,-14.2507742086647,-14.7377281064741,-12.8948942953624,-13.3149215046661,-13.7388865783522,-14.1668451549884,-14.5988539262681
